variable_id,domain,label,analysis_level,data_type,allowed_values,applicability,operational_definition,evidence_requirement,reliability_method,critical
automated_evaluation_used,自动评价,使用自动评价,paper,nominal,Y|N|NR,all,Y 仅限字符串/NLP 指标、程序规则或另一模型实际评价生成输出且结果进入主要分析；统计汇总、数据清洗、检索和生成过程本身不算。明确评价全部由人工完成记 N；方法不足以判断是否自动评输出记 NR；证据守则：仅使用当前研究完整文本及其可访问补充材料；讨论建议、风险陈述、模型常识、当前网页政策或其他论文不得反推本研究已实施的方法；先按本变量局部规则判定 N/NR/NA，局部报告充分性规则优先于通用实施规则,方法部分,Cohen_kappa_and_AC1,N
llm_as_judge_used,自动评价,使用LLM-as-judge,paper,nominal,Y|N|NR|NA,automated_evaluation_used=Y,先判automated_evaluation_used：上游Y时继续；上游NA时NA；上游NR时NR；上游N且明确评价仅由人工完成时记N。Y：LLM实例实际对候选输出进行评分、排序、分类、接受/拒绝或其他判断，包括反思模块和LLM多数投票。N：仅用非LLM自动指标，或生成模型回答仅与人工参考比较而没有LLM判断另一输出。NR：自动评价类型不清。,方法部分,Cohen_kappa_and_AC1,Y
judge_model_identified,自动评价,裁判模型身份报告,paper,nominal,Y|N|NR|NA,llm_as_judge_used=Y,报告裁判模型的可识别系列和版本/API快照时记Y；仅写LLM、AI或同一模型不算；明确未识别记N；无法判断时记NR；未使用LLM裁判时记NA；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,方法或附录,Cohen_kappa_and_AC1,N
judge_prompt_reported,自动评价,裁判提示词报告,paper,nominal,Y|N|NR|NA,llm_as_judge_used=Y,完整提供裁判提示、输入组织、评分量表和输出解析规则，足以复现裁判流程时记Y；仅给评价维度或一个示例不算；明确未保存/未提供记N；无法判断时记NR；未使用LLM裁判时记NA；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,方法或附录,Cohen_kappa_and_AC1,N
judge_independence_addressed,自动评价,裁判独立性处理,paper,nominal,Y|N|NR|NA,llm_as_judge_used=Y,先传播llm_as_judge_used：上游N/NA时NA，上游NR时NR。Y：在方法中实施上下文隔离、实例隔离或针对同源模型依赖的控制；N：明确同一上下文自评且不控制，或明确不考虑独立性；NR：只使用不同模型名称、称independent LLM或仅在局限中承认同源效应，没有实施隔离。,方法或限制,Cohen_kappa_and_AC1,Y
judge_bias_control_reported,自动评价,裁判偏倚控制,paper,nominal,Y|N|NR|NA,llm_as_judge_used=Y,先传播llm_as_judge_used：上游N/NA时NA，上游NR时NR。Y：实施输出顺序随机化、多裁判或重复裁判、位置偏倚检查或盲态偏倚抽查等直接控制；N：完整裁判协议明确没有控制或固定顺序；NR：协议报告不足。多数投票只有明确用于裁判偏倚控制时才计Y，仅为降低随机波动不计。,方法部分,Cohen_kappa_and_AC1,Y
judge_human_validation,自动评价,自动裁判经人工验证,paper,nominal,Y|N|NR|NA,llm_as_judge_used=Y,先传播llm_as_judge_used：上游N/NA时NA，上游NR时NR。Y：将裁判模型对同一批项目的判断与独立人工或金标准标签系统比较，并报告一致性或误差；比较被评系统与护士表现不属于裁判验证；N：完整裁判协议明确没有同项人工/金标准比较；NR：协议不全或仅称作者查看少量结果。,方法与结果,Cohen_kappa_and_AC1,Y
data_available,开放科学,评价数据可获得,paper,ordinal,0_unavailable|1_on_request|2_public|NA,all,按数据可获得性声明编码；正文表格不等于完整数据；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述或未来计划不得反推方法已实施；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,数据声明,weighted_kappa_linear,N
prompts_available,开放科学,提示词材料可获得,paper,ordinal,0_unavailable|1_partial_or_on_request|2_complete_public|NA,all,先判是否存在可识别提示交互；明确无提示交互时NA。2_complete_public：编码者实际核验主要system/user模板、变量插入方式和输入组织信息，足以重建主要提示；1_partial_or_on_request：附件完整性未核验、仅示例、缺任一层/插入/组织信息或按需提供；0_unavailable：仅概述策略或链接不可用。声称附件含完整提示但未核验不能计2。,正文附录或仓库,weighted_kappa_linear,Y
code_available,开放科学,代码可获得,paper,ordinal,0_unavailable|1_on_request|2_public|NA,code_was_used,仅评价作者为研究编写或改写的分析/处理代码；完整公开仓库记2，明确按需提供记1，明确未共享记0；仅使用SPSS等现成软件且无自编代码时记NA；报告不足时按0并在备注说明；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述或未来计划不得反推方法已实施；统一决策规则：N仅用于作者明确说明未实施、未采用或明确排除；NR用于完整文本未找到充分报告；NA仅用于声明的适用条件不成立；讨论建议、风险陈述、模型能力推断或未来计划不得反推方法已实施；当上游适用性变量为NA时，下游变量必须按字典规则编码NA,代码声明或链接,weighted_kappa_linear,N
instrument_available,开放科学,评价量表或编码表可获得,paper,ordinal,0_unavailable|1_partial_or_on_request|2_complete_public|NA,dedicated_multi_item_human_or_structured_instrument_used=Y,先判是否使用专门的多项人工量表、编码表或结构化评价工具；简单二元正确答案键不激活，记NA；完整文本不能确认使用专门工具时NA，并在证据备注保留适用性不确定性。2_complete_public：编码者实际核验公开材料包含全部条目、编码规则和评分说明；1_partial_or_on_request：仅命名附件、未核验内容、缺任一组成、部分展示或按需提供；0_unavailable：确认使用但没有可复用内容。,正文附录或仓库,weighted_kappa_linear,Y
output_samples_available,开放科学,模型输出样本可获得,paper,ordinal,0_unavailable|1_selected_examples|2_complete_or_reusable_set|NA,generated_outputs_exist,先判研究是否产生可识别生成输出；明确未产生时NA。2_complete_or_reusable_set：编码时可直接取得全部输出，或可复用且逐条连接输入与输出的结构化集合；1_selected_examples：仅有选择性引文、截图、少量示例或未覆盖全体的附件；0_unavailable：只有汇总指标、没有实际输出，或仅有未兑现的按需提供声明。,正文附录或仓库,weighted_kappa_linear,N
evidence_locator,审计轨迹,主要证据定位,paper,text,free_text,all,使用input/normalized/pmid-{PMID}.md加节名及L行号；多个定位按正文顺序用分号分隔；不得只写全文、Methods或reviewer judgment,至少一个可复核定位,not_applicable,Y
coder_notes,审计轨迹,评价者备注,paper,text,free_text,all,只记录未能由结构化变量完整表达的边界判断；按variable_id字母序书写并用分号分隔；不得重抄其他变量结果或记录另一评价者意见；无备注时写none,自由文本,not_applicable,N
